generation,pathfinder_fitness,num_food
435,486.926206,0
436,242.381621,0
437,68.435476,0
438,1137.600481,1
439,739.166249,1
440,1310.491700,1
441,1148.963134,1
442,1088.169996,1
443,1204.575535,1
444,182.048011,0
445,600.266245,0
446,1051.718545,1
447,837.511330,1
448,660.448635,1
449,707.165110,1
450,833.431479,1
451,877.849467,1
452,802.917415,1
453,23.008572,0
454,53.929920,0
455,57.632736,0
456,26.674007,0
457,1190.238259,1
458,930.037291,1
459,510.856623,0
460,767.889948,1
461,1027.167513,1
462,771.555894,1
463,66.764679,0
464,26.373502,0
465,895.801647,1
466,391.489204,0
467,824.644344,1
468,443.936428,0
469,426.962725,0
470,1245.322474,1
471,379.751774,0
472,955.435493,1
473,995.765920,1
474,1064.464053,1
475,1041.303248,1
476,250.631450,0
477,969.485471,1
478,984.965132,1
479,100.999720,0
480,1048.200860,1
481,961.272504,1
482,1139.758538,1
483,58.672659,0
484,1001.321263,1
485,1259.392186,1
486,842.307238,1
487,1043.460516,1
488,1117.129696,1
489,761.016841,1
490,621.786158,0
491,1006.880869,1
492,1297.477339,1
493,45.087075,0
494,576.343394,0
495,942.175724,1
496,876.781310,1
497,811.163088,1
498,23.723235,0
499,1016.046442,1
500,20.419874,0
501,952.107693,1
502,655.130873,1
503,465.871221,0
504,894.081206,1
505,582.897858,0
506,520.995780,0
507,678.063712,0
508,1257.984837,1
509,1048.932445,1
510,1202.716571,1
511,590.249103,0
512,663.797314,1
513,766.821902,1
514,1018.062910,1
515,1037.481082,1
516,981.424135,1
517,1005.546743,1
518,495.949852,0
519,879.379129,1
520,51.609399,0
521,1145.535630,1
522,999.607949,1
523,904.035113,1
524,26.486317,0
525,1201.736277,1
526,1127.199169,1
527,989.405896,1
528,1079.999724,1
529,604.690953,1
530,42.716255,0
531,19.112081,0
532,994.780283,1
533,1124.983625,1
534,1028.292296,1
535,543.397946,1
536,694.238944,1
537,895.304245,1
538,988.780491,1
539,979.565618,1
540,536.523994,0
541,845.102300,1
542,86.696643,0
543,559.197142,0
544,76.309571,0
545,21.117284,0
546,957.116321,1
547,73.191060,0
548,1101.272751,1
549,146.190151,0
550,144.380961,0
551,727.524785,1
552,38.887632,0
553,896.993033,1
554,783.898285,1
555,70.060966,0
556,24.489461,0
557,984.839423,1
558,30.148593,0
559,20.476179,0
560,122.944309,0
561,850.145157,1
562,12.737514,0
563,482.644227,0
564,175.264895,0
565,1074.862245,1
566,116.314437,0
567,32.398777,0
568,1048.845583,1
569,994.023597,1
570,1165.285725,1
571,1061.031245,1
572,419.470397,0
573,823.390517,1
574,80.545718,0
575,87.070237,0
576,1093.082830,1
577,20.864829,0
578,75.920577,0
579,89.704778,0
580,286.012019,0
581,886.157136,1
582,31.831016,0
583,1200.963493,1
584,891.509826,1
585,1078.565691,1
586,1011.396314,1
587,64.808285,0
588,765.313340,1
589,45.671072,0
590,967.992536,1
591,1049.684990,1
592,1017.796999,1
593,1165.664072,1
594,48.465492,0
595,946.384054,1
596,72.881849,0
597,1152.975023,1
598,895.188164,1
599,73.725980,0
600,170.452994,0
601,276.913186,0
602,290.884487,0
603,1135.129471,1
604,8.915207,0
605,30.878321,0
606,969.098671,1
607,221.319868,0
608,966.299291,1
609,932.305355,1
610,939.813668,1
611,909.191219,1
612,1000.514681,1
613,70.604721,0
614,17.106124,0
615,1149.139928,1
616,970.505727,1
617,844.708719,1
618,996.353083,1
619,984.544055,1
620,222.678571,0
621,253.209340,0
622,60.498749,0
623,1089.080356,1
624,913.212557,1
625,48.992892,0
626,739.372549,1
627,115.036085,0
628,866.942291,1
629,944.520281,1
630,1171.905939,1
631,795.547679,1
632,1242.389052,1
633,681.137392,1
634,1113.646057,1
635,16.745192,0
636,1091.018490,1
637,874.459923,1
638,993.254936,1
639,1106.886234,1
640,979.153354,1
641,15.393722,0
642,12.943557,0
643,805.945869,1
644,1051.861498,1
645,958.716361,1
646,21.791985,0
647,39.776418,0
648,1427.000549,2
649,1138.429399,1
650,669.472075,1
651,610.360406,0
652,928.691805,1
653,36.556027,0
654,949.054443,1
655,912.916535,1
656,728.831657,1
657,838.589043,1
658,402.376312,0
659,991.540110,1
660,27.147959,0
661,1054.490472,1
662,990.607881,1
663,18.877669,0
664,762.094343,1
665,493.505226,0
666,1308.575811,1
667,831.521526,1
668,1063.836878,1
669,52.718148,0
670,929.464512,1
671,1059.508831,1
672,941.204583,1
673,729.435470,1
674,1040.962932,1
675,884.645360,1
676,1085.357589,1
677,1281.347039,1
678,872.517583,1
679,29.482366,0
680,53.847745,0
681,1036.909082,1
682,784.233553,1
683,808.137714,1
684,804.928629,1
685,821.966536,1
686,166.188134,0
687,866.630823,1
688,1093.967088,1
689,15.346091,0
690,30.366574,0
691,816.779148,1
692,1022.089229,1
693,700.395986,0
694,46.119652,0
695,210.858974,0
696,723.352038,1
697,551.229069,0
698,326.531666,0
699,1400.661434,2
700,1022.776580,1
701,824.226015,1
702,1041.956868,1
703,922.003405,1
704,875.732240,1
705,969.560440,1
706,845.568214,1
707,97.686872,0
708,1186.535955,1
709,1074.966583,1
710,171.899892,0
711,172.976060,0
712,14.849615,0
713,426.336455,0
714,58.030333,0
715,761.814769,1
716,1215.824501,1
717,1259.560367,1
718,507.192254,0
719,20.916525,0
720,14.157740,0
721,889.387913,1
722,1032.403994,1
723,813.303933,1
724,1025.987928,1
725,49.485493,0
726,43.732033,0
727,1078.418262,1
728,786.144073,1
729,20.576516,0
730,975.456943,1
731,1254.152940,1
732,1008.113577,1
733,1045.411203,1
734,61.775062,0
735,1286.363313,1
736,812.040702,1
737,50.958852,0
738,1094.312984,1
739,15.490482,0
740,1107.958302,1
741,41.567799,0
742,1849.905373,1
743,1125.904019,1
744,59.768047,0
745,1066.187717,1
746,918.657021,1
747,18.618465,0
748,1038.212366,1
749,144.408211,0
750,1297.861388,2
751,339.981843,0
752,899.140841,1
753,1076.249420,1
754,1001.506193,1
755,986.078124,1
756,980.786953,1
757,104.622133,0
758,975.223986,1
759,100.908124,0
760,1056.891476,1
761,987.447489,1
762,964.035164,1
763,933.403276,1
764,916.505591,1
765,1042.760968,1
766,1109.628541,1
767,1179.927114,1
768,74.259285,0
769,1054.147052,1
770,804.916970,1
771,947.433582,1
772,38.121978,0
773,860.971319,1
774,770.483921,1
775,944.369828,1
776,206.721445,0
777,1323.287929,2
778,1012.046886,1
779,1071.292914,1
780,722.329744,1
781,799.485178,1
782,363.502163,0
783,133.654220,0
784,1149.757308,1
785,855.315870,1
786,1101.935634,1
787,913.869369,1
788,942.992335,1
789,15.001365,0
790,759.837953,1
791,945.152890,1
792,316.280240,0
793,1604.599117,2
794,973.377632,1
795,639.530603,1
796,146.122826,0
797,1144.239917,1
798,17.937756,0
799,703.487716,1
800,741.872812,1
801,446.885041,0
802,466.653549,0
803,850.550878,1
804,26.959384,0
805,1008.875367,1
806,172.221270,0
807,530.019082,0
808,21.166494,0
809,1192.282118,1
810,994.314075,1
811,720.166384,1
812,1139.516503,1
813,1015.089259,1
814,947.517339,1
815,40.263728,0
816,12.928770,0
817,216.039126,0
818,982.996159,1
819,29.927457,0
820,963.186081,1
821,879.785892,1
822,25.879672,0
823,1209.937425,1
824,1144.474386,1
825,1339.170631,1
826,1034.927347,1
827,493.037440,1
828,1237.535569,2
829,32.411305,0
830,1174.957172,1
831,188.681945,0
832,1043.162977,1
833,700.701568,1
834,827.191155,1
835,404.618745,0
836,522.341059,0
837,925.751365,1
838,995.287629,1
839,1013.449177,1
840,973.890332,1
841,894.123008,1
842,464.820759,0
843,527.342197,0
844,807.339004,1
845,483.674242,0
846,491.353349,0
847,187.218181,0
848,917.960957,1
849,724.051665,1
850,1050.278424,1
851,1280.462930,1
852,1026.929759,1
853,373.026942,1
854,192.533364,0
855,1068.024916,1
856,13.948490,0
857,623.233973,1
858,783.357154,1
859,1142.338185,1
860,39.685497,0
861,508.374214,0
862,1014.472449,1
863,714.824950,1
864,1173.128598,1
865,870.152172,1
866,967.157952,1
867,790.037886,1
868,1004.799293,1
869,923.259996,1
870,718.058628,1
871,94.627983,0
872,869.486796,1
873,1057.165837,1
874,222.320936,0
875,1175.928300,1
876,36.320905,0
877,931.059026,1
878,943.165839,1
879,23.336905,0
880,191.843942,0
881,867.127256,1
882,1051.532765,1
883,1165.398355,1
884,1128.225400,1
885,1162.237977,1
886,700.244408,1
887,14.681171,0
888,1159.693573,1
889,1023.427399,1
890,972.074234,1
891,23.840973,0
892,696.447607,1
893,273.515872,0
894,918.800991,1
895,468.831486,0
896,964.313808,1
897,113.988631,0
898,820.103378,1
899,1042.226195,1
900,36.041145,0
901,1089.667979,1
902,796.731998,1
903,1116.288974,1
904,816.102865,1
905,965.484440,1
906,1162.687028,1
907,35.956074,0
908,787.921827,1
909,917.775603,1
910,1117.113849,1
911,935.632779,1
912,21.901336,0
913,981.438879,1
914,1019.677668,1
915,32.654038,0
916,18.650106,0
917,1008.083510,1
918,881.329222,1
919,913.355722,1
920,512.755440,0
921,1274.320111,2
922,114.214181,0
923,1079.721168,1
924,285.849899,1
925,1103.354381,1
926,824.157269,1
927,351.373920,1
928,991.975216,1
929,559.084608,0
930,822.364487,1
931,1104.805934,1
932,834.184674,1
933,1004.160643,1
934,955.336772,1
935,1397.427209,2
936,218.320391,0
937,968.088201,1
938,1063.182626,1
939,878.607791,1
940,1112.555617,1
941,12.095554,0
942,524.849955,0
943,51.105978,0
944,516.849951,0
945,138.527331,0
946,18.551014,0
947,828.027750,1
948,299.192565,0
949,178.363867,0
950,48.461335,0
951,1052.886310,1
952,497.958934,0
953,480.107899,0
954,797.981212,1
955,1140.798706,1
956,1043.617581,1
957,882.025869,1
958,1121.922627,1
959,260.284380,0
960,921.385013,1
961,928.589008,1
962,851.707300,1
963,1014.350096,1
964,730.497780,0
965,147.406023,0
966,20.967986,0
967,13.793052,0
968,993.349798,1
969,1118.148117,1
970,23.717807,0
971,898.157796,1
972,849.327967,1
973,24.815243,0
974,1119.935799,1
975,845.894714,1
976,965.969673,1
977,881.615069,1
978,936.134984,1
979,30.977172,0
980,574.818691,1
981,513.708587,0
982,847.874238,1
983,1083.669285,1
984,1051.914859,1
985,1157.454978,1
986,1117.493942,1
987,81.949097,0
988,1016.817071,1
989,611.662607,1
990,802.790610,1
991,103.240552,0
992,635.399088,0
993,251.773502,0
994,857.075735,1
995,931.960706,1
996,17.750422,0
997,1064.746246,1
998,35.734934,0
999,29.811737,0
1000,34.138200,0
1001,836.474268,1
1002,768.523536,1
1003,1071.561228,1
1004,901.436639,1
1005,860.519302,1
1006,1062.180360,1
1007,939.676089,1
1008,26.003980,0
1009,838.936246,1
1010,1177.920202,1
1011,949.615885,1
1012,90.381245,0
1013,1110.352319,1
1014,882.710432,1
1015,1359.216908,2
1016,23.368395,0
1017,543.395227,0
1018,793.735119,1
1019,509.310344,0
1020,357.879769,1
1021,316.360383,0
1022,1025.967216,1
1023,35.622256,0
1024,34.188261,0
1025,1237.433294,1
1026,17.695161,0
1027,1150.795832,1
1028,1116.227115,1
1029,1006.706369,1
1030,965.265337,1
1031,47.804464,0
1032,1127.690862,1
1033,920.265528,1
1034,921.308454,1
1035,142.685482,0
1036,1104.446743,1
1037,1139.757211,1
1038,1126.956228,1
1039,41.136616,0
1040,1041.515493,1
1041,1413.477889,2
1042,920.827448,1
1043,308.374319,0
1044,950.390524,1
1045,47.347816,0
1046,35.063143,0
1047,1242.685037,1
1048,35.627599,0
1049,60.161524,0
1050,1180.606436,1
1051,1002.241981,1
1052,692.126430,1
1053,978.919966,1
1054,36.189173,0
1055,35.232300,0
1056,969.033715,1
1057,1076.354336,1
1058,1094.674744,1
1059,942.451570,1
1060,129.716590,0
1061,37.994934,0
1062,109.322363,0
1063,19.621068,0
1064,10.906436,0
1065,801.706143,1
1066,42.695683,0
1067,45.878622,0
1068,28.936982,0
1069,1051.575796,1
1070,1397.955872,2
1071,94.635176,0
1072,899.608482,1
1073,29.477801,0
1074,169.889961,0
1075,44.077706,0
1076,888.689603,1
1077,888.336035,1
1078,435.139269,1
1079,1089.745037,1
1080,1138.312337,1
1081,913.553914,1
1082,13.270072,0
1083,964.976091,1
1084,1013.952338,1
1085,859.187939,1
1086,894.039162,1
1087,929.149133,1
1088,1075.351477,1
1089,1038.761563,1
1090,856.629499,1
1091,44.744880,0
1092,991.592861,1
1093,46.398102,0
1094,1062.208919,1
1095,18.647757,0
1096,907.587528,1
1097,1064.928229,1
1098,835.990722,1
1099,338.610920,1
1100,1049.582479,1
1101,707.682027,1
1102,48.724009,0
1103,18.206843,0
1104,43.187767,0
1105,59.071282,0
1106,1037.012994,1
1107,872.006307,1
1108,885.461167,1
1109,10.909283,0
1110,850.307987,1
1111,245.849540,0
1112,949.008741,1
1113,1062.600556,1
1114,1005.944309,1
1115,973.184436,1
1116,40.727817,0
1117,1094.359960,1
1118,248.391133,0
1119,1026.064333,1
1120,35.970104,0
1121,428.761444,0
1122,958.782283,1
1123,870.365223,1
1124,256.819133,1
1125,311.151287,1
1126,36.310409,0
1127,1007.512833,1
1128,46.938815,0
1129,986.311247,1
1130,27.146494,0
1131,25.163562,0
1132,44.078553,0
1133,969.155611,1
1134,974.577271,1
1135,174.645880,0
1136,968.249883,1
1137,1035.836200,1
1138,799.042719,1
1139,49.233188,0
1140,1131.051062,1
1141,911.741866,1
1142,43.117200,0
1143,929.261467,1
1144,1084.186201,1
1145,70.229415,0
1146,932.437496,1
1147,449.036563,0
1148,897.418027,1
1149,991.862750,1
1150,1081.599029,1
1151,123.110661,0
1152,720.266365,1
1153,912.568405,1
1154,1020.080288,1
1155,994.853361,1
1156,727.903981,1
1157,1177.878659,1
1158,961.125840,1
1159,190.687778,0
1160,805.780383,0
1161,870.860417,1
1162,930.471083,1
1163,1151.413004,1
1164,970.847040,1
1165,994.297316,1
1166,874.963588,1
1167,31.222724,0
1168,1249.620303,1
1169,1129.169047,1
1170,898.420713,1
1171,324.759612,0
1172,62.846323,0
1173,1043.223127,1
1174,814.848990,1
1175,18.701292,0
1176,153.127252,0
1177,1072.604655,1
1178,925.319459,1
1179,62.168912,0
1180,1023.793973,1
1181,29.294555,0
1182,847.685996,1
1183,1030.711204,1
1184,413.958954,0
1185,1025.559947,1
1186,37.642194,0
1187,1144.576797,1
1188,20.706524,0
1189,25.728983,0
1190,1079.870311,1
1191,1105.014380,1
1192,199.910510,0
1193,32.569067,0
1194,995.798162,1
1195,769.501214,1
1196,28.744479,0
1197,101.251940,0
1198,972.398003,1
1199,912.086307,1
1200,38.445847,0
1201,969.349487,1
1202,53.868058,0
1203,797.845103,1
1204,656.682164,1
1205,954.083702,1
1206,995.339113,1
1207,52.529252,0
1208,1230.089368,1
1209,38.353800,0
1210,27.393257,0
1211,49.406828,0
1212,939.816068,1
1213,1101.890264,1
1214,935.593314,1
1215,1002.186485,1
1216,1043.354730,1
1217,48.963443,0
1218,1211.212593,1
1219,15.936783,0
1220,1094.773044,1
1221,52.118978,0
1222,80.598993,0
1223,297.984409,1
1224,1039.711140,1
1225,965.998378,1
1226,48.461902,0
1227,889.472021,1
1228,172.889717,0
1229,870.710375,1
1230,890.718990,1
1231,59.105698,0
1232,889.813951,1
1233,1096.639606,1
1234,903.014846,1
1235,61.462331,0
1236,209.128515,0
1237,995.981680,1
1238,1073.107853,1
1239,16.939631,0
1240,842.632912,1
1241,157.272982,0
1242,880.556405,1
1243,757.727282,1
1244,20.630590,0
1245,40.226176,0
1246,901.949373,1
1247,744.301040,1
1248,173.470302,0
1249,365.922635,0
1250,713.296784,1
1251,23.091053,0
1252,39.112259,0
1253,373.995342,1
1254,1095.912287,1
1255,1156.523146,1
1256,908.404458,1
1257,76.824862,0
1258,1077.197960,1
1259,19.343125,0
1260,1169.117986,1
1261,96.088693,0
1262,881.177787,1
1263,307.522199,1
1264,30.021788,0
1265,15.517868,0
1266,1268.449558,2
1267,1001.473674,1
1268,70.330099,0
1269,702.815240,1
1270,37.874494,0
1271,78.092013,0
1272,435.115075,0
1273,1005.469908,1
1274,32.555593,0
1275,543.250593,0
1276,187.877325,0
1277,1110.912306,1
1278,1027.695770,1
1279,642.022618,0
1280,57.160710,0
1281,713.820689,1
1282,1025.133435,1
1283,79.117548,0
1284,1109.623737,1
1285,929.814283,1
1286,45.743615,0
1287,98.681990,0
1288,470.833133,0
1289,1048.443412,1
1290,1239.597673,1
1291,1098.031224,1
1292,830.031261,1
1293,476.075960,1
1294,775.863251,1
1295,545.413663,0
1296,133.491929,0
1297,842.418084,1
1298,1185.818825,1
1299,13.888740,0
1300,420.272415,0
1301,38.134997,0
1302,1109.470310,1
1303,1116.535938,1
1304,1002.849735,1
1305,1052.651851,1
1306,1179.701586,1
1307,1038.502212,1
1308,439.515172,0
1309,524.385138,0
1310,1209.924732,2
1311,1014.167645,1
1312,1212.666685,1
1313,78.609437,0
1314,32.711004,0
1315,1024.629933,1
1316,900.732636,1
1317,39.375170,0
1318,44.879268,0
1319,30.247518,0
1320,936.087129,1
1321,878.923139,1
1322,949.093260,1
1323,1105.598955,1
1324,860.424246,1
1325,1018.276373,1
1326,33.297951,0
1327,804.132248,1
1328,866.928980,1
1329,378.112814,0
1330,1211.249793,1
1331,27.525723,0
1332,48.579898,0
1333,1177.426664,1
1334,64.197967,0
1335,97.984353,0
1336,1305.186108,1
1337,748.713176,1
1338,1707.270180,2
1339,27.007927,0
1340,976.413823,1
1341,929.964277,1
1342,38.592346,0
1343,600.763164,0
1344,69.218186,0
1345,938.645478,1
1346,31.200621,0
1347,1243.082066,1
1348,815.468506,1
1349,1039.199103,1
1350,1181.684757,1
1351,958.836697,1
1352,33.540506,0
1353,59.894793,0
1354,944.688653,1
1355,957.873456,1
1356,1207.603316,1
1357,710.191115,1
1358,27.028066,0
1359,23.470699,0
1360,1291.785156,1
1361,719.840638,1
1362,1049.533003,1
1363,881.118697,1
1364,45.281340,0
1365,934.158523,1
1366,191.399118,0
1367,1081.930495,1
1368,920.665465,1
1369,505.690371,0
1370,577.181774,1
1371,275.117954,0
1372,22.032769,0
1373,1094.665078,1
1374,785.166747,1
1375,849.196919,1
1376,14.505047,0
1377,400.395147,0
1378,762.442053,1
1379,933.934802,1
1380,29.584587,0
1381,929.565285,1
1382,44.720034,0
1383,974.946321,1
1384,888.658529,1
1385,106.133835,0
1386,1175.387995,1
1387,54.666914,0
1388,1054.830779,1
1389,957.121061,1
1390,53.261113,0
1391,1136.917672,1
1392,906.058476,1
1393,1028.754282,1
1394,1036.398550,1
1395,858.537905,1
1396,30.023396,0
1397,1059.279486,1
1398,1100.041964,1
1399,914.362946,1
1400,234.526535,1
1401,964.897504,1
1402,76.378195,0
1403,1079.046701,1
1404,988.658140,1
1405,21.806429,0
1406,1207.633097,2
1407,1104.591009,1
1408,1076.365748,1
1409,15.389541,0
1410,550.958190,0
1411,37.807518,0
1412,977.596580,1
1413,488.841229,0
1414,1140.353380,1
1415,18.413260,0
1416,900.287878,1
1417,23.733074,0
1418,983.801551,1
1419,978.059587,1
1420,543.937648,0
1421,1148.685408,1
1422,29.064226,0
1423,1223.770114,1
1424,1071.646252,1
1425,40.318246,0
1426,1061.250921,1
1427,956.501833,1
1428,15.169069,0
1429,1042.863383,1
1430,1036.218306,1
1431,40.043380,0
1432,55.460814,0
1433,923.853449,1
1434,28.426328,0
1435,770.881338,1
1436,799.204438,1
1437,1011.528912,1
1438,941.382899,1
1439,1150.043804,1
1440,87.516537,0
1441,781.923558,1
1442,949.580117,1
1443,211.836001,0
1444,23.469294,0
1445,25.101585,0
1446,529.321870,0
1447,928.001149,1
1448,905.753480,1
1449,1071.027121,1
1450,832.468657,1
1451,18.523278,0
1452,940.137694,1
1453,600.786905,1
1454,777.254160,1
1455,1062.965853,1
1456,129.048014,0
1457,1079.803232,1
1458,32.272230,0
1459,260.809917,1
1460,36.650759,0
1461,45.797996,0
1462,675.897525,0
